id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1,20140501T000000,899994,2,1.77,3372,11905,2.0,0,0,3,5,2863,509,2012,0,98007,47.608718,-121.863652,3755,8527
2,20140502T000000,778439,2,1.13,3620,14353,2.0,0,4,4,8,500,3120,2008,0,98005,47.761033,-121.839997,2559,6696
3,20140503T000000,1308492,4,1.38,4677,13698,2.5,0,0,3,8,1519,3158,1906,0,98008,47.527524,-122.211042,3737,4072
4,20140504T000000,2054108,4,2.19,3104,12045,2.0,0,0,3,7,1784,1320,2004,0,98002,47.601095,-122.359257,2546,13018
5,20140505T000000,659117,2,3.81,2882,3657,1.0,0,0,3,9,562,2320,1975,0,98002,47.633379,-122.343366,4741,14268
6,20140506T000000,530855,5,3.0,1031,13714,1.0,0,0,4,8,3030,0,1913,0,98005,47.28397,-121.860609,1805,5476
7,20140507T000000,2545443,2,2.79,4816,4346,1.0,0,0,3,8,3892,924,1945,0,98008,47.131661,-121.627127,3394,12067
8,20140508T000000,1019141,4,2.03,1134,10663,2.0,0,0,3,7,2369,0,1914,0,98008,47.101311,-122.090504,2532,14848
9,20140509T000000,503436,4,4.26,2269,3949,1.0,0,0,3,8,3772,0,1966,0,98008,47.345454,-122.33048,1264,12098
10,20140510T000000,1252839,5,2.39,4304,1941,2.5,0,0,3,9,2769,1535,1914,0,98002,47.269025,-121.743398,998,5489
11,20140511T000000,499517,4,1.3,2870,2907,1.0,0,0,5,7,651,2219,1950,0,98008,47.143622,-121.667511,3868,14361
12,20140512T000000,428889,4,3.16,502,5837,1.0,0,2,3,7,1143,0,1987,1980,98004,47.22567,-121.619418,3444,5491
13,20140513T000000,725900,3,1.4,705,14680,1.5,0,0,3,8,1125,0,2009,2014,98001,47.187149,-121.893169,4304,9736
14,20140514T000000,204980,4,2.21,4635,9105,2.0,0,0,4,7,716,3919,1907,0,98007,47.740415,-121.639271,4713,7855
15,20140515T000000,236285,2,2.78,3121,2243,1.0,0,0,3,9,695,2426,1968,0,98008,47.198187,-122.484585,4960,8401
16,20140516T000000,543744,5,4.06,3390,6696,1.5,0,0,3,9,3773,0,1961,0,98005,47.476354,-122.392764,635,4097
17,20140517T000000,340073,4,2.73,3693,14543,1.5,0,0,3,6,3542,151,1950,2014,98001,47.515174,-122.407424,1600,12817
18,20140518T000000,775977,4,3.46,3166,13615,1.0,0,0,3,5,1514,1652,1962,0,98004,47.480443,-121.787395,2371,4505
19,20140519T000000,440389,3,4.47,3806,2466,1.0,0,0,3,9,3194,612,1967,0,98007,47.16934,-122.430418,4533,2084
20,20140520T000000,228282,4,1.46,1397,4957,2.0,0,0,3,7,3805,0,1977,0,98002,47.323159,-122.003636,4613,1552
21,20140521T000000,1625220,4,1.96,1585,2966,2.0,0,0,3,6,3712,0,1915,0,98003,47.135889,-122.027293,4512,6560
22,20140522T000000,606713,4,2.38,1779,1375,1.0,0,0,3,9,3255,0,1983,0,98004,47.376969,-122.189296,704,2153
23,20140523T000000,658331,2,2.48,1170,1262,2.0,0,2,3,7,2021,0,1923,0,98003,47.232019,-121.629595,2871,13130
24,20140524T000000,250851,2,2.44,2005,5362,3.0,0,0,3,8,2078,0,1905,0,98001,47.493143,-122.329567,1061,6473
25,20140525T000000,516499,3,4.18,4075,7502,2.0,0,0,3,7,1580,2495,1956,0,98005,47.584966,-122.147537,3814,3245
26,20140526T000000,807722,2,3.5,2455,12580,2.0,0,0,5,9,2027,428,1930,0,98007,47.472484,-121.725828,4460,2686
27,20140527T000000,269482,5,3.13,749,12587,2.5,0,2,3,7,3713,0,1905,0,98002,47.403966,-122.469578,3026,6835
28,20140528T000000,1130439,3,2.08,2392,11136,3.0,0,0,3,12,1221,1171,1998,0,98007,47.371133,-121.82705,2711,1693
29,20140529T000000,551986,6,3.88,3939,8833,2.0,0,0,3,9,2107,1832,1978,0,98004,47.689184,-121.683602,2871,8538
30,20140530T000000,539495,3,4.34,2353,2893,1.5,0,0,4,7,2259,94,1928,0,98002,47.253558,-121.567732,3181,9091
31,20140531T000000,499514,3,3.87,3354,9106,2.0,0,0,4,8,2062,1292,1966,0,98003,47.613953,-121.623703,3306,12982
32,20140601T000000,2503815,4,1.01,2003,12826,2.0,0,0,3,8,1139,864,1974,0,98003,47.630238,-122.180616,4269,6835
33,20140602T000000,778932,4,3.23,3885,2652,1.0,0,0,3,8,2653,1232,1902,0,98006,47.39344,-121.913636,2755,9689
34,20140603T000000,455945,3,1.18,4071,6540,1.5,0,3,3,10,664,3407,1927,0,98007,47.30811,-122.422707,4910,11287
35,20140604T000000,1531893,4,1.9,4292,13333,2.0,0,0,3,9,714,3578,1973,0,98008,47.429379,-122.24213,1400,7794
36,20140605T000000,300891,4,1.21,3926,4892,2.0,0,0,3,6,1594,2332,2013,0,98005,47.16525,-122.405778,2250,14483
37,20140606T000000,737121,3,3.11,543,1599,1.5,0,0,4,9,589,0,1996,0,98008,47.132151,-122.184813,3795,9804
38,20140607T000000,157533,6,3.4,4112,5815,2.0,0,0,2,4,2295,1817,1947,0,98003,47.178122,-121.624813,3659,13159
39,20140608T000000,345367,6,1.4,3118,2912,1.0,0,2,3,10,3421,0,1979,0,98005,47.231002,-122.152833,1952,14626
40,20140609T000000,939009,4,2.34,3663,10484,1.5,0,0,3,9,1751,1912,1909,0,98006,47.452924,-121.938102,1743,9567
41,20140610T000000,1059267,3,2.6,1788,9792,2.0,0,0,3,7,1602,186,1932,0,98004,47.694396,-122.066619,2822,1805
42,20140611T000000,817622,4,2.29,3442,9572,1.0,0,0,4,7,1107,2335,1999,0,98006,47.26495,-122.041083,2170,1920
43,20140612T000000,627237,2,1.42,719,5213,1.0,0,0,4,10,848,0,1966,0,98005,47.754613,-121.530428,2527,14162
44,20140613T000000,638678,2,2.47,2425,4637,3.0,0,0,3,10,3441,0,1968,0,98003,47.768436,-122.203846,2268,4604
45,20140614T000000,271271,3,3.63,3472,11355,1.0,0,0,3,8,745,2727,1911,0,98001,47.771233,-121.872676,4163,2443
46,20140615T000000,454790,3,1.25,4013,13547,1.0,0,0,3,7,771,3242,1956,0,98005,47.686294,-122.079937,2802,8048
47,20140616T000000,533359,4,1.28,2948,10290,3.0,0,0,3,8,2530,418,1943,0,98002,47.354678,-122.438854,1669,14707
48,20140617T000000,1284113,4,2.24,3971,6599,2.0,0,0,3,4,902,3069,1912,0,98008,47.150879,-122.010669,2932,2545
